NO,Temp_Key,Temp_Category,Temp_Section,Temp_Content_KR,Temp_Content_JP,Temp_Date
1,Temp_common_exsample,기본,☆★예시★☆,"문의하신 내용에 대해 안내드립니다.

(내용)

또한, 게임 플레이 중에/* 부분은 선택하여 사용) 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.","お問い合わせいただいた内容つきまして、ご案内いたします。

(내용)

また、ゲームプレイ中、/にご不便なところがございましたら (*/ 부분은 골라 쓰면 됨.)
いつでもサポートセンターまでお問い合わせくださいませ。",2024.12.03
2,Temp_common_basic,기본,기본 틀,"문의하신 내용에 대해 안내드립니다.

(내용)

또한, 게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.","お問い合わせいただいた内容つきまして、ご案内いたします。

(내용)

また、ゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。",2024.12.03
3,Temp_common_delayed,기본,늦었을때,응대가 늦어진 점 깊이 사과드립니다.,この度は対応が遅くなりましたことを/、心よりお詫び申し上げます。,2024.12.03
4,Temp_common_duplicate_inquiry,기본,중복 문의,앞서 보내드린 내용을 확인해 주시기 바랍니다.,先ほどお送りした内容をご確認くださいませ。,2024.12.03
5,Temp_common_wrong_response,기본,오답변,이번에 안내드린 내용 중 일부에 오류가 있었던 점 깊이 사과드립니다.,※この度はご案内の一部に誤りがございましたこと、/を深くお詫び申し上げます。,2024.12.03
6,Temp_common_resolved,기본,해결,"문제가 해결되었다는 연락 주셔서 대단히 감사합니다.

또한, 게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.

고객님의 의견을 발판 삼아, 앞으로도 개발 및 운영에 힘쓰겠습니다.
*이상이 없으시다면, 답장하실 필요 없습니다.","無事に問題が解決できたとのご連絡、誠にありがとうございます。
 
また、ゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。
 
お客様のお声を励みに、これからも開発及び運営に臨んでまいります。
*もし不備がなければ、ご返信には及びません。",2024.12.03
7,Temp_common_thanks,기본,감사,"문의 주셔서 대단히 감사합니다.

또한, 게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.

고객님의 의견을 발판 삼아, 앞으로도 개발 및 운영에 힘쓰겠습니다.
*이상이 없으시다면, 답장하실 필요 없습니다.","この度はご連絡、誠にありがとうございます。
 
またゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。
 
お客様のお声を励みに、これからも開発及び運営に臨んでまいります。
*もし不備がなければ、ご返信には及びません。",2024.12.03
8,Temp_common_thanks_2,기본,감사2,"바쁘신 와중에 확인 및 답장해 주셔서 대단히 감사합니다.
도움이 되었다니 다행입니다.

또한, 게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.

*이상이 없으시다면, 답장하실 필요 없습니다.","お忙しいところ、ご確認及びご返信いただき、誠にありがとうございます。
ご参考になったとのことで幸いでございます。
 
また、ゲームプレイ中、/にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。
 
*もし不備がなければ、ご返信には及びません。",2024.12.03
9,Temp_common_no_individual_compensation,기본,개별 보상 불가,"본 건과 관련하여, '보석'을 다른 곳에 사용해 버렸다고 하셔서,
고객님께서는 매우 안타까운 심정이실 것 같습니다.

대단히 죄송하지만, 공정성의 관점에서 고객님께 개별적인 복구 및 보상은 어려운 점 양해 부탁드립니다.
이와 같은 안내를 드리게 되어 대단히 죄송하지만, 너그러운 양해 부탁드립니다.

이번에는 고객님의 의향에 맞는 안내를 드리지 못해 대단히 죄송하지만,
게임 플레이 중에 불편한 사항이 있으시면
언제든지 고객센터로 문의해 주시기 바랍니다.","本件に関して、「ジェム」を他のところに使ってしまったとのことで、
お客様におかれましては非常に残念な思いをされているかと存じます。

大変申し訳ございませんが、公平性の観点からお客様への個別の復旧および補償ができかねます。
このようなご案内となり誠に恐縮ではございますが、何卒ご了承いただきますようお願い申し上げます。

この度はお客様のご意向に添ったご案内ができず大変申し訳ございませんが、
またゲームプレイ中にご不便なところがございましたら
いつでもサポートセンターまでお問い合わせくださいませ。",2024.12.03
10,Temp_common_unknown_inquiry,기본,알 수 없는 문의,"이번에는 문의하시느라 번거로움을 끼쳐 대단히 죄송합니다.

대단히 죄송하지만, 보내주신 내용으로는 자세한 확인이 어려워,
번거로우시겠지만, 아래의 세부 내용과 함께/을 확인하신 후,
다시 한 번 문의해 주시면 감사하겠습니다.

【내용에 맞게 예시】
1. 해당 현상이 발생한 날짜와 시간
2. 스크린샷
3. 기타

해결을 위한 구체적인 답변을 드리지 못해 대단히 죄송하지만,
너그러운 양해 부탁드립니다.","この度はお問い合わせのお手数をおかけして大変申し訳ございません。

大変恐れ入りますが、お送りいただいた内容では詳細の確認が難しいため、
お手数をおかけいたしますが、下記の詳細とともに/をご確認の上、
再度お問い合わせいただきたく、何卒よろしくお願いいたします。

【내용에 맞게 예시】
1.該当の現象が発生した日時
2.スクリーンショット
3.その他

解決に向けての具体的なご回答ができず大変申し訳ございませんが、
何卒ご了承いただきますようお願い申し上げます。",2024.12.03
